Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Ariel Atkins,27,40,40,1196,217,497,0.437,79,221,0.357,138,276,0.5,84,99,0.848,36,99,135,124,59,17,92,112,597
2,Stefanie Dolson,32,39,39,1011,133,280,0.475,72,155,0.465,61,125,0.488,33,42,0.786,33,160,193,103,21,18,68,114,371
3,Julie Vanloo,31,40,34,927,106,306,0.346,72,222,0.324,34,84,0.405,10,15,0.667,5,60,65,173,19,1,102,86,294
4,Shatori Walker-Kimbrough,29,40,2,882,105,253,0.415,35,106,0.33,70,147,0.476,54,67,0.806,13,56,69,75,42,18,54,40,299
5,Aaliyah Edwards,21,34,17,741,103,210,0.49,0,7,0,103,203,0.507,52,80,0.65,48,143,191,48,25,27,50,91,258
6,Karlie Samuelson,29,29,19,711,79,193,0.409,49,123,0.398,30,70,0.429,36,39,0.923,15,59,74,62,27,1,25,48,243
7,Jade Melbourne,21,37,0,523,72,166,0.434,20,56,0.357,52,110,0.473,35,49,0.714,13,42,55,58,24,5,62,54,199
8,Myisha Hines-Allen,29,27,10,517,86,176,0.489,14,39,0.359,72,137,0.526,29,35,0.829,27,105,132,73,15,2,39,51,215
9,Emily Engstler,24,32,3,464,76,155,0.49,27,57,0.474,49,98,0.5,18,22,0.818,44,84,128,47,19,24,22,49,197
10,Brittney Sykes,30,18,18,421,81,200,0.405,16,59,0.271,65,141,0.461,42,56,0.75,11,62,73,55,16,7,40,26,220
11,Shakira Austin,23,12,11,239,52,121,0.43,1,4,0.25,51,117,0.436,36,54,0.667,21,61,82,11,15,11,29,30,141
12,DiDi Richards,25,19,7,198,20,49,0.408,0,4,0,20,45,0.444,6,14,0.429,10,19,29,13,2,4,7,15,46
13,Sika Koné,21,10,0,160,29,67,0.433,4,7,0.571,25,60,0.417,24,27,0.889,7,36,43,11,4,2,9,20,86
14,Sug Sutton,25,7,0,51,2,7,0.286,0,4,0,2,3,0.667,0,0,,0,4,4,10,2,0,5,1,4
15,Jakia Brown-Turner,23,2,0,8,0,1,0,0,0,,0,1,0,2,2,1,0,1,1,0,1,0,0,0,2
1,Arike Ogunbowale,27,38,38,1466,279,729,0.383,112,324,0.346,167,405,0.412,175,190,0.921,29,144,173,195,81,11,103,107,845
2,Teaira McCowan,27,39,38,987,184,323,0.57,1,4,0.25,183,319,0.574,89,124,0.718,112,202,314,61,35,34,78,117,458
3,Jacy Sheldon,23,40,26,931,81,210,0.386,30,97,0.309,51,113,0.451,25,27,0.926,27,55,82,99,23,12,63,101,217
4,Natasha Howard,32,27,26,825,187,410,0.456,11,55,0.2,176,355,0.496,89,124,0.718,53,129,182,78,34,21,76,85,474
